475,1000,4
0,30,2
0,61,2
0,64,3
0,65,2
0,74,3
0,135,2
0,161,3
0,177,1
0,191,12
0,220,3
0,364,3
0,374,3
0,424,4
0,448,3
0,554,3
0,584,3
0,763,3
0,768,3
0,879,12
0,920,4
0,933,3
0,938,4
0,977,2
1,18,2
1,20,4
1,30,2
1,51,1
1,59,8
1,61,2
1,64,3
1,74,18
1,94,2
1,111,2
1,124,1
1,125,3
1,219,7
1,230,25
1,262,9
1,287,2
1,315,8
1,360,2
1,361,0
1,376,12
1,425,4
1,554,3
1,705,7
1,794,2
1,850,5
1,889,3
1,930,4
1,965,3
2,10,1
2,14,1
2,30,2
2,83,7
2,147,3
2,231,4
2,232,4
2,262,3
2,316,4
2,389,3
2,425,4
2,506,1
2,552,2
2,693,4
2,704,4
2,939,4
2,947,4
2,973,3
2,982,4
3,14,6
3,19,4
3,26,1
3,50,1
3,51,2
3,84,3
3,129,3
3,193,2
3,214,2
3,220,3
3,226,1
3,262,1
3,287,2
3,305,2
3,339,2
3,361,0
3,472,7
3,493,6
3,502,3
3,506,1
3,585,3
3,618,2
3,692,4
3,776,6
3,851,5
3,906,3
3,983,9
4,18,3
4,20,9
4,30,9
4,46,6
4,61,6
4,74,7
4,75,3
4,96,2
4,97,23
4,122,3
4,125,3
4,147,1
4,155,2
4,199,7
4,230,4
4,275,3
4,292,3
4,316,4
4,317,4
4,335,3
4,362,8
4,393,3
4,425,4
4,426,4
4,447,2
4,460,2
4,468,4
4,558,2
4,595,2
4,621,2
4,674,3
4,693,4
4,770,4
4,778,4
4,885,3
4,964,3
4,977,2
5,40,4
5,46,1
5,65,2
5,126,3
5,153,1
5,154,2
5,162,7
5,177,1
5,218,6
5,267,2
5,337,2
5,534,3
5,626,3
5,667,4
5,668,3
5,671,2
5,694,8
5,708,3
5,852,5
5,919,4
5,962,3
6,119,2
6,178,3
6,192,1
6,258,2
6,265,2
6,267,2
6,361,0
6,383,3
6,394,7
6,434,3
6,450,4
6,505,3
6,534,3
6,552,2
6,558,2
6,668,3
6,669,4
6,853,5
6,875,3
7,35,3
7,39,2
7,64,3
7,107,3
7,127,3
7,145,2
7,154,2
7,177,1
7,233,8
7,234,8
7,235,4
7,255,2
7,337,2
7,466,3
7,602,3
7,854,5
8,10,1
8,14,1
8,30,4
8,39,4
8,50,1
8,51,3
8,61,6
8,83,5
8,94,2
8,118,2
8,127,11
8,147,3
8,153,3
8,162,7
8,186,11
8,231,4
8,232,12
8,255,2
8,258,5
8,262,1
8,329,2
8,360,2
8,370,2
8,372,3
8,386,2
8,389,15
8,422,3
8,427,31
8,428,4
8,448,3
8,478,2
8,506,1
8,543,3
8,561,4
8,562,4
8,752,7
8,769,2
8,770,4
8,771,4
8,779,4
8,838,7
8,879,4
8,931,3
8,935,4
8,947,4
9,14,1
9,18,1
9,30,2
9,37,3
9,46,4
9,48,3
9,60,2
9,61,2
9,71,5
9,74,3
9,83,2
9,113,3
9,127,3
9,176,2
9,186,7
9,218,3
9,220,3
9,265,2
9,287,4
9,318,8
9,393,3
